a,b,agreement
global,e1,0.7947
global,e2,0.9921
global,e3,0.8691
global,e4,0.6646
e1,e2,0.7962
e1,e3,0.9179
e1,e4,0.7309
e2,e3,0.8737
e2,e4,0.6687
e3,e4,0.7863
