K,beta,tune_expert_balanced_nll
2,0.0,2.168409
2,0.5,3.912592
2,1.0,7.601579
4,0.0,1.216702
4,0.5,2.752589
4,1.0,6.315858
8,0.0,1.306516
8,0.5,3.318359
8,1.0,7.228469
