class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,64173,64173,0,3495618,3495618
bot,5,5,0,41415,41415
brute_force,21110,21110,0,115020,115020
ddos,146,146,0,226860,226860
dos,5,5,0,38894,38894
infiltration,4525,4525,0,11910,11910
web_attacks,2972,2972,0,461,461
