expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9103,1507,16620,0.7935,0.6663
2,202121,normgain,0.8334,9430,24251,0.7928,0.453
3,202121,normgain,0.9742,12,5198,0.7715,0.3781
4,202121,normgain,0.9735,0,5360,0.6012,0.6647
