cluster,rows,weighted_mass,mean_residual,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
0,15483,0.6745169623952676,35.616118133578006,0,0,0,0,0,15477,6
1,1929817,0.04304211160509435,0.016337084210050087,1736499,20642,18633,131268,19618,3157,0
2,405,0.0007198187476325329,1.3018628575107836,0,0,0,405,0,0,0
3,246,0.007406266593226681,241.8582492267062,0,0,0,0,0,0,246
