expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15483,12761,15483,0,0,0,0,0,15477,6
2,1929817,12761,186000,155612,17736,1105,3675,4715,3157,0
3,405,12761,405,0,0,0,405,0,0,0
4,246,12761,246,0,0,0,0,0,0,246
