class,routed,rows
benign,benign(직결),3502437
ddos,flood,252437
brute_force,tail,77344
bot,bf_bot,41415
dos,flood,38843
brute_force,bf_bot,37676
infiltration,benign(직결),35678
dos,tail,21110
ddos,benign(직결),12435
infiltration,tail,1953
dos,benign(직결),641
web_attacks,benign(직결),498
benign,tail,477
bot,benign(직결),127
brute_force,benign(직결),20
web_attacks,tail,11
benign,flood,7
benign,bf_bot,5
