class,support,f1_baseline,f1_oracle,f1_tta,oracle_minus_tta
benign,454537,0.999346179331782,1.0,0.9695566915656915,0.030443308434308536
dos-hulk,46025,0.9986213484731705,0.9997065950903579,0.4313511181419429,0.5683554769484149
portscan,31786,0.9966283500870357,1.0,0.23430093626356407,0.7656990637364359
ddos,25606,0.999648629655657,1.0,0.37942235539999497,0.6205776446000051
dos-goldeneye,2059,0.9894128970163619,0.9929968606616759,0.658513640639699,0.33448322002197695
ftp-patator,1588,0.9993702770780857,0.9996850393700787,0.34009661835748795,0.6595884210125907
ssh-patator,1179,0.9995760915642221,0.9995760915642221,0.009518864659051576,0.9900572269051705
dos-slowloris,1159,0.9888698630136986,0.9944037882049075,0.3709677419354839,0.6234360462694236
dos-slowhttptest,1100,0.9873188405797102,0.9931787175989086,0.29721362229102166,0.695965095307887
bot,393,0.790650406504065,1.0,0.0031570639305445935,0.9968429360694554
web-attack-�-brute-force,302,0.729776247848537,0.7329650092081031,0.03125,0.7017150092081031
web-attack-�-xss,130,0.44299674267100975,0.5482866043613707,0.0,0.5482866043613707
infiltration,7,0.9333333333333333,1.0,0.009732360097323601,0.9902676399026764
web-attack-�-sql-injection,4,0.25,1.0,0.00023070711731456916,0.9997692928826855
heartbleed,2,1.0,1.0,0.6666666666666666,0.33333333333333337
