expert,proposed,accepted,accept_rate
1,1,0,0.0
2,2964,2011,0.6785
3,113817,101841,0.8948
4,23236,15019,0.6464
5,47080,47019,0.9987
6,83688,83681,0.9999
total,270786,249571,0.06203428488479322
