bank,expert,block_rows,residual_regime_rows,identical_to_residual,selector_active
residual,1,186000,1948960,True,True
residual,2,15923,15923,True,False
residual,3,19496,19496,True,False
residual,4,123,123,True,False
residual,5,3263,3263,True,False
residual,6,1158,1158,True,False
