expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.3545,0.158,8.0757
2,0.5961,0.0036,7.8535
3,0.5968,0.0032,7.5185
4,0.6219,0.0252,7.4589
5,0.5869,0.0007,7.4547
6,0.5857,0.0,7.6441
