cluster,rows,weighted_mass,mean_residual,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
0,39741,0.19638382706567523,0.21860947509045262,9911,9958,0,9958,4,9910,0
1,3200,0.39768781606936104,6.439342189344038,0,0,3138,0,0,15,47
2,13967,0.21905155610066807,0.7035766913440765,0,0,6820,0,7146,0,1
3,3092,0.18687680076429555,2.7453769681278732,47,0,0,0,2808,33,204
