expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,12202,0.8066,1120,1240,0.5642,0.9231
2,12202,0.8228,1337,825,0.6902,0.665
3,12202,0.5572,4454,949,0.5207,0.9113
4,12202,0.6331,3566,911,0.5475,0.7793
