a,b,agreement
global,e1,0.6384
global,e2,0.5746
global,e3,0.8035
global,e4,0.7946
e1,e2,0.5414
e1,e3,0.6788
e1,e4,0.6792
e2,e3,0.6332
e2,e4,0.6775
e3,e4,0.8179
