class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,2000,1210,0,0,790,0
bot,2000,1997,0,0,3,0
brute_force,2000,1341,659,0,0,0
ddos,2000,1991,0,0,9,0
dos,2000,790,0,0,1210,0
infiltration,2000,1797,0,0,203,0
web_attacks,509,460,2,0,47,0
