class,margin_p10,margin_p50,margin_p90
benign,0.244,2.035,5.733
bot,9.831,11.741,12.739
brute_force,0.97,0.97,13.453
ddos,5.246,8.396,12.931
dos,0.97,6.669,9.974
infiltration,0.17,0.918,2.892
web_attacks,0.585,4.325,4.922
