true_class,support,expert,owner,pred_x,conf_x,pred_xa,conf_xa,stability,tta_weight
web-attack-�-brute-force,302,Tail,False,web-attack-�-sql-injection,0.9526146650314331,web-attack-�-sql-injection,0.6972478628158569,0.833585403386476,0.17334913609626088
web-attack-�-xss,130,Benign,False,benign,0.9781352877616882,benign,0.9333768486976624,0.7895689525094485,0.1632510475226792
web-attack-�-xss,130,DoS,False,dos-slowhttptest,0.7840855717658997,dos-slowhttptest,0.6876611709594727,0.8178828203269211,0.16900851510612322
web-attack-�-xss,130,DDoS_Scan,False,portscan,0.9994663000106812,portscan,0.9482354521751404,0.8449112619825118,0.17421832996407613
web-attack-�-xss,130,BruteForce,False,ssh-patator,0.9996140599250793,ssh-patator,0.9981041550636292,0.7520939799723536,0.15534799150198547
web-attack-�-xss,130,WebBot,True,web-attack-�-xss,0.6744044423103333,bot,0.7414065599441528,0.7911337223648585,0.16339178200909668
web-attack-�-xss,130,Tail,False,web-attack-�-sql-injection,0.9522490501403809,web-attack-�-sql-injection,0.6861964464187622,0.8460063012331746,0.17478233389603937
infiltration,7,Benign,False,benign,0.8938107490539551,benign,0.9057546257972717,0.8397805794695203,0.171962626787834
infiltration,7,DoS,False,dos-slowloris,0.6428178548812866,dos-goldeneye,0.6128047108650208,0.8182525236647857,0.16761432795419134
infiltration,7,DDoS_Scan,False,ddos,0.999902069568634,portscan,0.9954718351364136,0.8072673739277064,0.1648660166110739
infiltration,7,BruteForce,False,ssh-patator,0.9997342228889465,ssh-patator,0.9980255961418152,0.7232156709225749,0.14816440663655372
infiltration,7,WebBot,False,bot,0.6704506874084473,web-attack-�-brute-force,0.7948864698410034,0.8701999015205077,0.17808958282312773
infiltration,7,Tail,True,infiltration,0.9627513289451599,infiltration,0.5815861821174622,0.8277869503857817,0.16930303918721926
web-attack-�-sql-injection,4,Benign,False,benign,0.9245479106903076,benign,0.8962376117706299,0.8063616633947615,0.16946965016052667
web-attack-�-sql-injection,4,DoS,False,dos-goldeneye,0.7942412495613098,dos-goldeneye,0.8255401849746704,0.8702846258541148,0.18320811542098886
web-attack-�-sql-injection,4,DDoS_Scan,False,portscan,0.998536229133606,ddos,0.9213792085647583,0.741240394035322,0.1557979847183733
web-attack-�-sql-injection,4,BruteForce,False,ssh-patator,0.9972872138023376,ftp-patator,0.996410071849823,0.7725118835335778,0.1623929441220601
web-attack-�-sql-injection,4,WebBot,False,web-attack-�-xss,0.825027346611023,bot,0.73235684633255,0.7477804786618563,0.1570728915829953
web-attack-�-sql-injection,4,Tail,True,web-attack-�-sql-injection,0.9603753089904785,infiltration,0.5215507745742798,0.8175501455763309,0.17205841399505578
heartbleed,2,Benign,False,benign,0.8726477026939392,benign,0.8301168084144592,0.9162963830403874,0.17789414308609994
heartbleed,2,DoS,False,dos-goldeneye,0.7764216661453247,dos-goldeneye,0.6190861463546753,0.9168861443574509,0.17799931550614295
heartbleed,2,DDoS_Scan,False,portscan,0.9882826805114746,ddos,0.999336838722229,0.7952676312515836,0.15444418628350723
heartbleed,2,BruteForce,False,ssh-patator,0.9983477592468262,ftp-patator,0.99964439868927,0.7955678491059953,0.15419147729767982
heartbleed,2,WebBot,False,web-attack-�-brute-force,0.7557280659675598,bot,0.5975499749183655,0.8432086319621497,0.1639208412797458
heartbleed,2,Tail,True,heartbleed,0.9633010029792786,heartbleed,0.4761330187320709,0.8838085601231015,0.17155003654682432
