class,support,f1_baseline,f1_oracle,f1_tta,oracle_minus_tta
benign,454537,0.999346179331782,1.0,0.9838778183639071,0.016122181636092914
dos-hulk,46025,0.9986213484731705,0.9997065950903579,0.43140075078746387,0.568305844302894
portscan,31786,0.9966283500870357,1.0,0.24173958733302348,0.7582604126669765
ddos,25606,0.999648629655657,1.0,0.39281524544435464,0.6071847545556454
dos-goldeneye,2059,0.9894128970163619,0.9929968606616759,0.6658211794546608,0.3271756812070151
ftp-patator,1588,0.9993702770780857,0.9996850393700787,0.3405902273826802,0.6590948119873985
ssh-patator,1179,0.9995760915642221,0.9995760915642221,0.011,0.9885760915642221
dos-slowloris,1159,0.9888698630136986,0.9944037882049075,0.3713670613562971,0.6230367268486103
dos-slowhttptest,1100,0.9873188405797102,0.9931787175989086,0.29721362229102166,0.695965095307887
bot,393,0.790650406504065,1.0,0.003278688524590164,0.9967213114754099
web-attack-�-brute-force,302,0.729776247848537,0.7329650092081031,0.031331592689295036,0.7016334165188081
web-attack-�-xss,130,0.44299674267100975,0.5482866043613707,0.0,0.5482866043613707
infiltration,7,0.9333333333333333,1.0,0.009732360097323601,0.9902676399026764
web-attack-�-sql-injection,4,0.25,1.0,0.00023285597857724996,0.9997671440214227
heartbleed,2,1.0,1.0,0.6666666666666666,0.33333333333333337
