class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1,_footer
airplane,1200,0.5828220858895705,0.5984112974404237,0.5541666666666667,0.565,0.5681332763776165,0.5812258894127732,0.013092613035156742,
automobile,1200,0.5935534591194969,0.5914396887159533,0.6291666666666667,0.6333333333333333,0.61084142394822,0.6116700201207244,0.0008285961725043034,
bird,1200,0.38926829268292684,0.3986083499005964,0.3325,0.33416666666666667,0.3586516853932584,0.36355394378966455,0.004902258396406123,
cat,1200,0.3584070796460177,0.3825088339222615,0.3375,0.36083333333333334,0.34763948497854075,0.3713550600343053,0.02371557505576455,
deer,1200,0.4431512981199642,0.4517304189435337,0.4125,0.41333333333333333,0.42727665084160554,0.4316797214969539,0.00440307065534834,
dog,1200,0.4133685136323659,0.4259421560035057,0.39166666666666666,0.405,0.4022250748823278,0.41520717642033317,0.012982101538005386,
frog,1200,0.5121776504297995,0.5135327635327636,0.5958333333333333,0.6008333333333333,0.5508474576271186,0.553763440860215,0.0029159832330963864,
horse,1200,0.5370051635111877,0.542489270386266,0.52,0.5266666666666666,0.5283657917019475,0.53446088794926,0.006095096247312526,
ship,1200,0.6137239784117193,0.6130500758725341,0.6633333333333333,0.6733333333333333,0.6375650780937124,0.6417791898332009,0.004214111739488491,
truck,1200,0.5343915343915344,0.5364188163884673,0.5891666666666666,0.5891666666666666,0.560443915973048,0.5615567911040509,0.0011128751310028884,
macro avg,12000,0.49778690558345834,0.5054131671106306,0.5025833333333333,0.5101666666666665,0.49919898398173956,0.5066252121021482,0.007426228120408607,True
weighted avg,12000,0.4977869055834583,0.5054131671106306,0.5025833333333334,0.5101666666666667,0.49919898398173956,0.5066252121021482,0.007426228120408607,True
