expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.6821,0.0001,5.949
2,0.6891,0.0001,5.6365
3,0.7393,0.0003,5.451
4,0.8471,0.1254,2.3684
5,0.0773,0.0001,39.6004
