expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9656,98,6865,0.7204,0.5727
2,202121,normgain,0.9605,27,7953,0.7595,0.3809
3,202121,normgain,0.9687,381,5944,0.7467,0.3725
4,202121,normgain,0.902,59,19758,0.7416,0.5269
5,202121,normgain,0.9647,18,7126,0.7597,0.4675
