class,rows,proposed,accepted
benign,3502926,3050,2044
bot,41542,39921,39874
brute_force,115040,82156,80384
ddos,264872,174954,174953
dos,60594,44702,44358
infiltration,37631,8128,8110
web_attacks,509,229,229
