expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15358,12761,15358,0,0,0,0,0,15358,0
2,121,12761,121,0,0,0,0,0,0,121
3,20651,12761,20651,0,20651,0,0,0,0,0
4,1909954,12761,186000,73281,0,1885,96834,14000,0,0
5,3442,12761,3442,93,0,0,0,0,3349,0
