class_id,class_name,baseline_precision,baseline_recall,baseline_f1,cascade_precision,cascade_recall,cascade_f1,delta_f1,is_focus_class
0,bot,0.9058441558441559,0.7099236641221374,0.7960057061340942,0.9058441558441559,0.7099236641221374,0.7960057061340942,0.0,0
1,ddos,0.9999609405515194,0.9998047332656409,0.9998828308076863,0.9999609405515194,0.9998047332656409,0.9998828308076863,0.0,0
2,dos-goldeneye,0.9985401459854014,0.996600291403594,0.997569275644142,0.9884559884559885,0.9980573093734822,0.9932334461092315,-0.004335829534910518,1
3,dos-hulk,0.9985028640860961,0.9998696360673547,0.9991857826799692,0.9985672108370962,0.9994133623030962,0.9989901073961059,-0.00019567528386321698,1
4,dos-slowhttptest,0.9863263445761167,0.9836363636363636,0.9849795175238962,0.9854413102820746,0.9845454545454545,0.984993178717599,1.3661193702718677e-05,1
5,dos-slowloris,0.9956784788245462,0.993960310612597,0.9948186528497409,0.9965397923875432,0.993960310612597,0.9952483801295896,0.00042972727984869064,1
6,ftp-patator,1.0,0.9993702770780857,0.9996850393700787,1.0,0.9993702770780857,0.9996850393700787,0.0,0
7,heartbleed,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
8,infiltration,1.0,0.7142857142857143,0.8333333333333334,1.0,0.7142857142857143,0.8333333333333334,0.0,0
9,normal,0.9996610870742131,0.9993443892479836,0.9995027130742454,0.9996610870742131,0.9993443892479836,0.9995027130742454,0.0,0
10,portscan,0.9938690606525071,0.9995910149122255,0.9967218257391577,0.9938688688688688,0.9995595545208582,0.9967060890297079,-1.573670944976513e-05,1
11,ssh-patator,1.0,0.9991518235793045,0.9995757318625371,1.0,0.9991518235793045,0.9995757318625371,0.0,0
12,web-attack-�-brute-force,0.7443820224719101,0.8803986710963455,0.806697108066971,0.803088803088803,0.6910299003322259,0.7428571428571429,-0.06383996520982815,1
13,web-attack-�-sql-injection,1.0,0.75,0.8571428571428571,1.0,0.75,0.8571428571428571,0.0,0
14,web-attack-�-xss,0.5263157894736842,0.3076923076923077,0.3883495145631068,0.4682080924855491,0.6230769230769231,0.5346534653465347,0.1463039507834279,1
