a,b,agreement
global,e1,0.5206
global,e2,0.4818
global,e3,0.5703
global,e4,0.8881
global,e5,0.5248
e1,e2,0.8479
e1,e3,0.9347
e1,e4,0.6276
e1,e5,0.8729
e2,e3,0.8207
e2,e4,0.534
e2,e5,0.8916
e3,e4,0.6433
e3,e5,0.8522
e4,e5,0.5743
