method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,4023114,0.7023,0.6688,0.0398,0.00157
global_tabpfn,4023114,0.6672,0.6406,0.038,0.00157
xgboost,4023114,0.7749,0.7426,0.0055,0.002662
