class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,105237,90450,-14787,3497428,3497427
bot,5,5,0,41417,41417
brute_force,21110,21110,0,77344,77344
ddos,72,72,0,244288,244288
dos,2,2,0,20365,35152
infiltration,3334,3332,-2,10178,10176
web_attacks,2093,2097,4,241,242
