expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.9051,4334,14853,0.754,0.1968
2,202122,0.9243,6964,8346,0.8349,0.0464
3,202122,0.6903,48588,14003,0.4796,0.1295
4,202122,0.7025,2829,57295,0.7916,0.0629
5,202122,0.6553,2771,66894,0.7304,0.149
