bank,expert,block_rows,residual_regime_rows,identical_to_residual,selector_active
residual,1,6533,6533,True,False
residual,2,15873,15873,True,False
residual,3,20616,20616,True,False
residual,4,186000,1935325,True,True
residual,5,129,129,True,False
random,1,6533,6533,False,False
random,2,15873,15873,False,False
random,3,20616,20616,False,False
random,4,186000,1935325,False,True
random,5,129,129,False,False
proximity,1,6533,6533,False,False
proximity,2,15873,15873,False,False
proximity,3,20616,20616,False,False
proximity,4,186000,1935325,False,True
proximity,5,129,129,False,False
regime_random,1,6533,6533,True,False
regime_random,2,15873,15873,True,False
regime_random,3,20616,20616,True,False
regime_random,4,186000,1935325,False,True
regime_random,5,129,129,True,False
