expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9544,1990,7220,0.7439,0.7899
2,202121,normgain,0.8855,2031,21112,0.7773,-0.0011
3,202121,normgain,0.9659,49,6835,0.7809,0.8008
4,202121,normgain,0.968,121,6351,0.7436,0.803
