class,winner,rows
brute_force,bf_bot,799
bot,bf_bot,793
ddos,flood,784
benign,benign,753
infiltration,benign,560
dos,flood,509
web_attacks,tail,341
dos,bf_bot,286
infiltration,flood,204
web_attacks,flood,137
benign,tail,42
infiltration,tail,36
web_attacks,benign,31
ddos,benign,10
ddos,bf_bot,6
dos,tail,5
benign,flood,4
bot,tail,4
bot,benign,3
benign,bf_bot,1
brute_force,tail,1
