true_class,pre,post,rows
benign,benign,benign,527
infiltration,benign,benign,526
web_attacks,tail,tail,227
benign,benign,tail,39
infiltration,benign,tail,22
web_attacks,benign,benign,9
infiltration,tail,tail,6
web_attacks,benign,tail,6
dos,tail,tail,4
benign,tail,tail,3
bot,benign,tail,2
bot,tail,tail,2
dos,benign,tail,1
