draw,seed,cal_benign_recall,cal_macro_f1,cal_benign_misrouted,selected
0,44,0.99132,0.752706,434,False
1,45,0.9912,0.769122,440,False
2,46,0.99334,0.754139,333,True
3,47,0.99178,0.665366,411,False
4,48,0.99284,0.758729,358,False
