expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.8328,370,33421,0.6851,0.5598
2,202121,normgain,0.9708,21,5872,0.7991,0.2706
3,202121,normgain,0.7753,39383,6030,0.6089,0.1077
4,202121,normgain,0.9722,40,5584,0.6211,0.6539
