class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,47602,47602,0,3496565,3496565
bot,8,8,0,41409,41409
brute_force,21110,21110,0,115020,115020
ddos,153,153,0,243972,243972
dos,33,33,0,38844,38844
infiltration,4162,4162,0,11862,11862
web_attacks,2150,2150,0,224,224
