class,support,mean_delta,pct_delta_negative,owner_expert
benign,454537,-0.00512946611268686,82.02654569374991,Benign
dos-hulk,46025,-0.024946142178884984,99.55458989679522,DoS
portscan,31786,-0.019330806399804574,75.56471402504246,DDoS_Scan
ddos,25606,-0.0807812890441499,80.96539873467155,DDoS_Scan
dos-goldeneye,2059,-0.09990542474016716,99.80573093734823,DoS
ftp-patator,1588,-0.13476462002732428,84.63476070528966,BruteForce
ssh-patator,1179,0.02038934880334371,25.360474978795587,BruteForce
dos-slowloris,1159,-0.07774600032334394,99.8274374460742,DoS
dos-slowhttptest,1100,-0.12031199560721771,99.81818181818181,DoS
bot,393,-0.0421829340441614,94.65648854961832,WebBot
web-attack-�-brute-force,302,-0.08470408697903652,100.0,WebBot
web-attack-�-xss,130,-0.09187199641639533,100.0,WebBot
infiltration,7,-0.05459380546870174,85.71428571428571,Tail
web-attack-�-sql-injection,4,-0.02599569791025047,100.0,Tail
heartbleed,2,-0.08822991442312017,100.0,Tail
