expert,class,rows,helpful,harmful,neutral
1,backdoor,30130,0,40,30090
1,benign,100000,0,31769,68231
1,ddos,100000,85,924,98991
1,dos,17072,6,494,16572
1,injection,50363,140,2935,47288
1,mitm,822,1,0,821
1,password,100000,95,606,99299
1,ransomware,539,5,3,531
1,scanning,4471,4225,0,246
1,xss,100000,5662,2094,92244
2,backdoor,30130,2,0,30128
2,benign,100000,81,45,99874
2,ddos,100000,109,42,99849
2,dos,17072,15,310,16747
2,injection,50363,193,796,49374
2,mitm,822,1,0,821
2,password,100000,133,3,99864
2,ransomware,539,6,12,521
2,scanning,4471,3066,2,1403
2,xss,100000,6122,435,93443
3,backdoor,30130,2,0,30128
3,benign,100000,1,5924,94075
3,ddos,100000,104,844,99052
3,dos,17072,19,448,16605
3,injection,50363,150,3949,46264
3,mitm,822,1,0,821
3,password,100000,115,588,99297
3,ransomware,539,6,0,533
3,scanning,4471,3135,1,1335
3,xss,100000,4005,1600,94395
4,backdoor,30130,0,0,30130
4,benign,100000,0,72617,27383
4,ddos,100000,21,843,99136
4,dos,17072,9,1020,16043
4,injection,50363,1546,18,48799
4,mitm,822,0,0,822
4,password,100000,38,3976,95986
4,ransomware,539,5,13,521
4,scanning,4471,3251,3,1217
4,xss,100000,1257,2806,95937
5,backdoor,30130,2,0,30128
5,benign,100000,4,14224,85772
5,ddos,100000,93,634,99273
5,dos,17072,9,340,16723
5,injection,50363,352,1826,48185
5,mitm,822,0,0,822
5,password,100000,134,1511,98355
5,ransomware,539,6,2,531
5,scanning,4471,2865,2,1604
5,xss,100000,7969,463,91568
6,backdoor,30130,0,10,30120
6,benign,100000,1,8202,91797
6,ddos,100000,93,1022,98885
6,dos,17072,21,485,16566
6,injection,50363,211,3577,46575
6,mitm,822,1,0,821
6,password,100000,40,849,99111
6,ransomware,539,5,5,529
6,scanning,4471,3206,1,1264
6,xss,100000,5741,1358,92901
7,backdoor,30130,2,0,30128
7,benign,100000,1,5935,94064
7,ddos,100000,84,814,99102
7,dos,17072,533,0,16539
7,injection,50363,136,3968,46259
7,mitm,822,1,0,821
7,password,100000,117,543,99340
7,ransomware,539,5,2,532
7,scanning,4471,2879,2,1590
7,xss,100000,1518,1799,96683
