class,correctable_global_errors,scorer_recovered,scorer_recovery_rate,final_recovered
backdoor,22,12,0.5454545454545454,2
benign,44554,18822,0.4224536517484401,6
ddos,2721,2027,0.7449467107680999,16
dos,347,294,0.8472622478386167,18
injection,2664,605,0.2271021021021021,141
mitm,90,50,0.5555555555555556,0
password,423,182,0.4302600472813239,19
ransomware,48,17,0.3541666666666667,0
scanning,5356,3616,0.6751306945481703,2705
xss,35963,18866,0.52459472235353,1727
