arm,split,rows,macro_f1,tail_f1,benign_fpr,accuracy,delta_macro_f1,delta_tail_f1,delta_benign_fpr,proposed,accepted,logical_expert_calls,diagnostic_all_expert_policy,changed,helpful,harmful
legacy,cal_confirm,51593,0.8041242317398576,0.7783957219251337,0.008368200836820106,0.9210164169557886,0.03557145078828439,-0.06527516415081569,0.0,51593,2092,51593,False,922,864,0
global,full_test,2271723,0.6834730736740362,0.10094472347566093,0.13705740072251138,0.8894614352189946,0.0,0.0,0.0,0,0,0,False,0,0,0
correctness_oracle,full_test,2271723,0.8088365382865156,0.21411751229252066,0.10683699811843161,0.9300420869974024,0.12536346461247938,0.11317278881685973,-0.030220402604079766,0,92188,0,False,92188,92188,0
expert1_always,full_test,2271723,0.652583622776616,0.020546849190748114,0.2503713621768132,0.8221711009660949,-0.030889450897420234,-0.08039787428491281,0.11331396145430184,0,270105,0,False,270105,49833,202698
expert2_always,full_test,2271723,0.6963017523999984,0.028145583966498494,0.1970064477969914,0.8624757507847568,0.012828678725962162,-0.07279913950916243,0.05994904707448001,0,160470,0,False,160470,43816,105120
expert3_always,full_test,2271723,0.6668531403250546,0.02100816863317164,0.2196917592189389,0.8374647789365165,-0.016619933348981597,-0.0799365548424893,0.08263435849642753,0,224487,0,False,224487,40461,158583
expert4_always,full_test,2271723,0.5891986978183069,0.02976477494984766,0.5910342657067548,0.5920422516301503,-0.09427437585572929,-0.07117994852581327,0.4539768649842434,0,776874,0,False,776874,32059,707713
expert5_always,full_test,2271723,0.6658911139247617,0.030088230801353626,0.3182007485576225,0.7858647379103878,-0.017581959749274456,-0.0708564926743073,0.1811433478351111,0,364718,0,False,364718,60479,295822
expert6_always,full_test,2271723,0.6662400532524505,0.025892839146252122,0.20774169742698578,0.849817517364573,-0.0172330204215857,-0.0750518843294088,0.0706842967044744,0,233441,0,False,233441,63770,153830
expert7_always,full_test,2271723,0.6328182402416118,0.0399623761167435,0.19213431169461892,0.8517253203845715,-0.050654833432424384,-0.06098234735891743,0.05507691097210754,0,231875,0,False,231875,57246,142972
legacy,full_test,2271723,0.7343278454118807,0.10078075706071249,0.13845535039632317,0.8903158527690216,0.05085477173784447,-0.00016396641494843822,0.0013979496738117936,2271723,13790,2271723,False,7462,4634,2693
