arm,split,class,support,global_f1,system_f1,delta_f1,precision,recall,helpful,harmful,net_correction
legacy,cal_confirm,backdoor,1630,0.9978494623655914,0.9978494623655914,0.0,0.9993846153846154,0.996319018404908,0,0,0.0
legacy,cal_confirm,benign,239,0.09683350357507661,0.11909547738693467,0.022261973811858057,0.06335204490777867,0.9916317991631799,0,0,0.0
legacy,cal_confirm,ddos,8320,0.993940121197576,0.994059405940594,0.00011928474301803327,0.9925704014379868,0.9955528846153846,0,0,0.0
legacy,cal_confirm,dos,1074,0.9728183118741058,0.9719181342217992,-0.0009001776523066551,0.994157740993184,0.9506517690875232,1,0,0.000931098696461825
legacy,cal_confirm,injection,12617,0.9447726052294602,0.9462959907606006,0.0015233855311403977,0.9865829534703707,0.9091701672346834,35,0,0.002774035032099548
legacy,cal_confirm,mitm,180,0.7,0.7058823529411765,0.005882352941176561,0.711864406779661,0.7,0,0,0.0
legacy,cal_confirm,password,10272,0.9919425298514707,0.9917018488863008,-0.0002406809651699371,0.9886792452830189,0.9947429906542056,0,0,0.0
legacy,cal_confirm,ransomware,119,0.9873417721518988,0.850909090909091,-0.13643268124280783,0.75,0.9831932773109243,0,0,0.0
legacy,cal_confirm,scanning,2566,0.04114285714285714,0.5042016806722689,0.46305882352941174,0.9830508474576272,0.33904910366328916,816,0,0.3180046765393609
legacy,cal_confirm,xss,14576,0.9588866461276957,0.959328873314219,0.00044222718652331405,0.9909323583180987,0.929678924259056,12,0,0.000823271130625686
global,full_test,backdoor,40030,0.9987141555247618,0.9987141555247618,0.0,0.9981783245576822,0.9992505620784412,0,0,0.0
global,full_test,benign,1474302,0.9122768270895532,0.9122768270895532,0.0,0.9675939481932119,0.8629425992774886,0,0,0.0
global,full_test,ddos,103338,0.9731152655568285,0.9731152655568285,0.0,0.9804807607296875,0.9658596063403588,0,0,0.0
global,full_test,dos,22458,0.9839262656396099,0.9839262656396099,0.0,0.9838824577025823,0.9839700774779588,0,0,0.0
global,full_test,injection,68891,0.9298588185713282,0.9298588185713282,0.0,0.9008288082309232,0.9608221683529053,0,0,0.0
global,full_test,mitm,1161,0.06217405238469831,0.06217405238469831,0.0,0.03217538146070804,0.9190353143841516,0,0,0.0
global,full_test,password,210951,0.8905246983476585,0.8905246983476585,0.0,0.8044124956983902,0.9972837293968742,0,0,0.0
global,full_test,ransomware,709,0.13971539456662355,0.13971539456662355,0.0,0.07563908019143224,0.9139633286318759,0,0,0.0
global,full_test,scanning,6029,0.13370216689718764,0.13370216689718764,0.0,0.9100418410041841,0.07215126886714214,0,0,0.0
global,full_test,xss,343854,0.8107230921621109,0.8107230921621109,0.0,0.7409626080466135,0.8949844992351405,0,0,0.0
correctness_oracle,full_test,backdoor,40030,0.9987141555247618,0.9990763623655109,0.0003622068407490575,0.9983536220315307,0.9998001498875844,22,0,0.0005495878091431426
correctness_oracle,full_test,benign,1474302,0.9122768270895532,0.9433016258942454,0.031024798804692222,0.9994042093934548,0.8931630018815684,44554,0,0.030220402604079762
