epoch,loss_valid,acc_valid,f1_valid,auc_valid
0,1.918666,0.826072704625168,0.8163879456936933,0.936284185463511
1,1.7685264,0.8381355098829777,0.8268023320346655,0.9401271869991548
2,1.7649872,0.8308912708558691,0.8168690741660293,0.9375791738010709
3,1.772758,0.8310551676664372,0.8170303296485555,0.9398969698666291
4,1.7215948,0.8390205526600453,0.8282155159283284,0.9408762632779186
5,1.7795922,0.8360704100698201,0.8240047993656375,0.9397807916877996
6,1.7743126,0.8342675451535713,0.8217061254476175,0.9399127481365644
7,1.7932513,0.8390861113842725,0.8281112475429735,0.9387311108359162
8,1.7807772,0.8365621005015242,0.8245266083314421,0.9396065105898378
9,1.8288743,0.8318746517192775,0.8180816937358177,0.9397997228261483
10,1.8173903,0.8317763136329367,0.8179783993773346,0.9397652726843243
11,1.8060919,0.835906513259252,0.8236757895771134,0.9395883325105665
12,1.7959557,0.8350870292064116,0.8225749632197656,0.9392408209016624
13,1.8283861,0.8321368866161865,0.8185881313425681,0.939604531679346
14,1.8280172,0.8321041072540728,0.8188055188522773,0.9395364527575842
15,1.8096715,0.8320713278919593,0.8183452398884487,0.9396748321959238
16,1.8046023,0.8325957976857771,0.8191714906706904,0.9406723389414859
17,1.7653751,0.8391188907463861,0.827997461147736,0.940548565131962
18,1.7715049,0.8391188907463861,0.8278336744198515,0.9402402722889078
19,1.7828248,0.8392172288327269,0.827878318735253,0.9406764252700293
20,1.7477758,0.8342019864293441,0.8213574707249874,0.940768548751761
