backbone,selector,primary,class,n,argmin_correct,avg_correct,oracle_view_correct,score_mean_a100,recall_a100,pick_share_a100,score_mean_a050,recall_a050,pick_share_a050,score_mean_a000,recall_a000,pick_share_a000
tabpfn,nmaxp,True,dos,60594,0.6415,0.6415,0.6437,0.145,0.643,0.4075,0.1624,0.6414,0.1887,0.1402,0.6412,0.4038
tabpfn,nmaxp,True,infiltration,37631,0.3164,0.3201,0.4261,0.1409,0.0513,0.6879,0.2628,0.3214,0.0469,0.3553,0.4245,0.2652
tabpfn,nmaxp,True,web_attacks,509,0.4519,0.4794,0.664,0.3164,0.442,0.5187,0.6003,0.1022,0.0236,0.3328,0.6601,0.4578
tabpfn,nmargin,False,__all__,4023114,0.98,0.9802,0.986,-4.9604,0.9803,0.7131,-3.9319,0.9797,0.0658,-3.5317,0.9332,0.2211
tabpfn,nmargin,False,benign,3502926,0.9985,0.9983,0.9999,-4.9317,0.9993,0.78,-3.6123,0.9958,0.0455,-3.0217,0.9443,0.1745
tabpfn,nmargin,False,bot,41542,0.997,0.997,0.997,-8.5063,0.9969,0.0002,-7.8217,0.997,0.0607,-10.0635,0.997,0.939
tabpfn,nmargin,False,brute_force,115040,0.9998,0.9998,0.9998,-3.8665,0.9998,0.6852,-3.7806,0.9998,0.3051,-3.8375,0.9998,0.0097
tabpfn,nmargin,False,ddos,264872,0.8975,0.9013,0.9519,-5.8011,0.9282,0.0386,-7.79,0.9281,0.2442,-8.6042,0.8868,0.7172
tabpfn,nmargin,False,dos,60594,0.6415,0.6415,0.6437,-3.7801,0.643,0.3545,-4.5564,0.6414,0.019,-6.3967,0.6412,0.6265
tabpfn,nmargin,False,infiltration,37631,0.316,0.3201,0.4261,-3.0796,0.0513,0.6819,-1.7332,0.3214,0.0469,-2.5777,0.4245,0.2712
tabpfn,nmargin,False,web_attacks,509,0.4538,0.4794,0.664,-1.9516,0.442,0.5167,-0.5849,0.1022,0.0236,-1.5302,0.6601,0.4597
xgb,energy,True,__all__,4023114,0.9855,0.9742,0.9873,-6.2958,0.9856,0.9813,-4.6354,0.9732,0.0019,-4.0248,0.9403,0.0168
xgb,energy,True,benign,3502926,0.9976,0.9835,0.9977,-6.1161,0.9977,0.9992,-4.3313,0.9824,0.0,-3.6407,0.9437,0.0007
xgb,energy,True,bot,41542,0.9968,0.9969,0.9971,-9.5066,0.9956,0.977,-8.963,0.9969,0.0068,-8.8672,0.997,0.0162
xgb,energy,True,brute_force,115040,0.9998,0.9998,0.9998,-5.4767,0.9998,0.6733,-4.8634,0.9998,0.0182,-4.7056,0.9998,0.3085
xgb,energy,True,ddos,264872,0.9911,1.0,1.0,-8.4435,0.9911,0.9348,-7.4687,1.0,0.0023,-7.4834,1.0,0.063
xgb,energy,True,dos,60594,0.6424,0.6424,0.6495,-7.1638,0.642,0.8658,-6.7022,0.6424,0.0709,-6.6019,0.6495,0.0633
xgb,energy,True,infiltration,37631,0.3231,0.3566,0.4304,-5.4986,0.3225,0.7782,-4.1946,0.3584,0.0014,-3.8542,0.4304,0.2204
xgb,energy,True,web_attacks,509,0.4853,0.5481,0.8114,-4.1437,0.4322,0.5128,-4.432,0.7289,0.0138,-4.5115,0.7623,0.4735
xgb,nmaxp,False,__all__,4023114,0.9855,0.9742,0.9873,-6.2775,0.9856,0.9812,-4.5687,0.9732,0.0019,-3.8023,0.9403,0.0169
xgb,nmaxp,False,benign,3502926,0.9975,0.9835,0.9977,-6.1029,0.9977,0.9992,-4.266,0.9824,0.0001,-3.4004,0.9437,0.0007
xgb,nmaxp,False,bot,41542,0.9968,0.9969,0.9971,-9.5059,0.9956,0.9771,-8.9617,0.9969,0.0068,-8.8663,0.997,0.0162
xgb,nmaxp,False,brute_force,115040,0.9998,0.9998,0.9998,-5.3144,0.9998,0.6733,-4.6489,0.9998,0.0182,-4.4385,0.9998,0.3085
xgb,nmaxp,False,ddos,264872,0.9911,1.0,1.0,-8.4341,0.9911,0.9348,-7.4548,1.0,0.0023,-7.4772,1.0,0.063
xgb,nmaxp,False,dos,60594,0.6424,0.6424,0.6495,-7.0793,0.642,0.8656,-6.5886,0.6424,0.0711,-6.457,0.6495,0.0633
xgb,nmaxp,False,infiltration,37631,0.3236,0.3566,0.4304,-5.4724,0.3225,0.7756,-4.0934,0.3584,0.0026,-3.5281,0.4304,0.2218
xgb,nmaxp,False,web_attacks,509,0.4853,0.5481,0.8114,-3.8007,0.4322,0.5128,-4.1485,0.7289,0.0138,-4.2608,0.7623,0.4735
xgb,nmargin,False,__all__,4023114,0.9749,0.9742,0.9873,-6.684,0.9856,0.8891,-4.8493,0.9732,0.0011,-3.6071,0.9403,0.1098
xgb,nmargin,False,benign,3502926,0.9844,0.9835,0.9977,-6.5308,0.9977,0.9834,-4.4075,0.9824,0.001,-2.9039,0.9437,0.0155
xgb,nmargin,False,bot,41542,0.9967,0.9969,0.9971,-10.037,0.9956,0.0037,-10.8625,0.9969,0.0067,-11.5998,0.997,0.9897
xgb,nmargin,False,brute_force,115040,0.9998,0.9998,0.9998,-4.2964,0.9998,0.6725,-4.3736,0.9998,0.0,-4.4885,0.9998,0.3275
xgb,nmargin,False,ddos,264872,1.0,1.0,1.0,-9.4454,0.9911,0.023,-9.5239,1.0,0.0017,-10.3733,1.0,0.9753
xgb,nmargin,False,dos,60594,0.6424,0.6424,0.6495,-6.8774,0.642,0.3938,-7.3281,0.6424,0.0029,-7.7093,0.6495,0.6033
xgb,nmargin,False,infiltration,37631,0.355,0.3566,0.4304,-4.8616,0.3225,0.6445,-3.9374,0.3584,0.0025,-3.3293,0.4304,0.3531
xgb,nmargin,False,web_attacks,509,0.501,0.5481,0.8114,-2.1355,0.4322,0.4853,-2.1184,0.7289,0.0413,-2.58,0.7623,0.4735
