class,correctable_global_errors,scorer_recovered,scorer_recovery_rate,final_recovered
backdoor,24,2,0.08333333333333333,2
benign,23715,0,0.0,0
ddos,3155,805,0.2551505546751189,804
dos,353,35,0.09915014164305949,4
injection,2548,100,0.03924646781789639,94
mitm,93,0,0.0,0
password,377,0,0.0,0
ransomware,37,0,0.0,0
scanning,5010,3818,0.7620758483033933,3793
xss,36443,20398,0.559723403671487,20278
