class,correctable_global_errors,scorer_recovered,scorer_recovery_rate,final_recovered
backdoor,24,20,0.8333333333333334,8
benign,23715,20492,0.8640944549862956,0
ddos,3155,2972,0.9419968304278923,0
dos,353,183,0.5184135977337111,1
injection,2548,723,0.2837519623233909,258
mitm,93,84,0.9032258064516129,0
password,377,231,0.6127320954907162,4
ransomware,37,12,0.32432432432432434,0
scanning,5010,4906,0.9792415169660679,4744
xss,36443,30144,0.827154734791318,12104
