class,calibration,true_expert,correct_activation,act_benign,act_flood,act_bf_bot,act_tail
benign,raw,benign,0.84942,0.8494,0.0002,0.0002,0.1502
benign,cal,benign,0.6726,0.6726,0.0,0.0,0.3274
bot,raw,bf_bot,0.9970150690867075,0.0001,0.0,0.997,0.0029
bot,cal,bf_bot,0.985388281738963,0.0012,0.0,0.9854,0.0134
brute_force,raw,bf_bot,1.0,0.0,0.0,1.0,0.0
brute_force,cal,bf_bot,0.99964,0.0,0.0,0.9996,0.0004
ddos,raw,flood,0.99726,0.0024,0.9973,0.0,0.0003
ddos,cal,flood,0.9659,0.008,0.9659,0.0,0.0261
dos,raw,flood,0.64526,0.0074,0.6453,0.3472,0.0001
dos,cal,flood,0.6281,0.0096,0.6281,0.3472,0.0151
infiltration,raw,tail,0.5255773165741011,0.4712,0.0018,0.0015,0.5256
infiltration,cal,tail,0.7715978847227021,0.2282,0.0002,0.0,0.7716
web_attacks,raw,tail,0.6817288801571709,0.2043,0.0786,0.0354,0.6817
web_attacks,cal,tail,0.8133595284872298,0.1513,0.0354,0.0,0.8134
