dataset,scope,accuracy_upper_bound,macro_f1_upper_bound,canonical_global_fallback_f1,uncovered_rows
cic2018,bank,0.9995030358527421,0.9913658075982765,0.962639709037386,1512
cic2018,fixed_call_bank,0.996188298137732,0.8106530623034781,0.8106530623034781,11597
toniot,bank,0.9205774647701326,0.7866937462287208,0.7846674879053418,180426
toniot,fixed_call_bank,0.9001079797140761,0.7571263390370742,0.7571260783743774,226927
