expert,anchor_rows,block_rows,fit_s,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),12761,0,0.0,2000,2000,2000,2000,2000,2000,761
1,12761,186000,14.9,12748,20648,57189,56836,21913,16546,120
2,12761,186000,14.9,185965,0,0,0,17,2,16
3,12761,186000,14.9,185964,0,0,0,19,1,16
4,12761,186000,15.0,185898,0,0,0,0,86,16
