true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
bot,target known,tail,41542,0.005897645756102258,0.9941023542438977,0.0,0.0,0.9941023542438977
brute_force,target known,brute_force,100000,0.00179,0.99821,0.0,0.0,0.99821
infiltration,target known,tail,37631,0.05824984720044644,0.9417501527995535,0.0,0.0,0.9417501527995535
web_attacks,target known,tail,509,0.5461689587426326,0.4538310412573674,0.0,0.0,0.4538310412573674
unseen::ddos,target unseen,,100000,0.40733,,0.59267,0.0,0.59267
unseen::dos,target unseen,,60594,0.5998118625606496,,0.40018813743935044,0.0,0.40018813743935044
benign_diagnostic,benign diagnostic,,100000,0.26533,,0.73467,0.0,0.73467
