expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
brute_force,brute_force,target known,brute_force,99821,100000,0.99821
brute_force,unseen::dos,target unseen,brute_force,21110,60594,0.3483843284813678
tail,bot,target known,bot,41297,41542,0.9941023542438977
tail,infiltration,target known,infiltration,35435,37631,0.9416438574579469
tail,infiltration,target known,web_attacks,4,37631,0.0001062953416066541
tail,web_attacks,target known,infiltration,1,509,0.0019646365422396855
tail,web_attacks,target known,web_attacks,230,509,0.4518664047151277
tail,unseen::ddos,target unseen,infiltration,59267,100000,0.59267
tail,unseen::dos,target unseen,infiltration,2156,60594,0.03558108063504638
tail,unseen::dos,target unseen,web_attacks,983,60594,0.016222728322936263
tail,benign_diagnostic,benign diagnostic,bot,5,100000,5e-05
tail,benign_diagnostic,benign diagnostic,infiltration,73418,100000,0.73418
tail,benign_diagnostic,benign diagnostic,web_attacks,44,100000,0.00044
