role,branch,count,share_of_role,accuracy
known,all_out,1792,0.009973174831090482,0.0
known,argmin,25820,0.1436983114613595,0.9999612703330751
known,owner_only,152070,0.84632851370755,0.992727033602946
known,ALL,179682,1.0,0.9838659409401053
unseen,all_out,56918,0.35442170940383827,1.0
unseen,argmin,58404,0.3636748570930421,0.0
unseen,owner_only,45272,0.2819034335031197,0.0
unseen,ALL,160594,1.0,0.35442170940383827
benign,all_out,2757,0.02757,0.0
benign,argmin,71732,0.71732,0.0
benign,owner_only,25511,0.25511,0.973148837756262
benign,ALL,100000,1.0,0.24826
