expert,class,rows,mean_delta,frac_positive
1,benign,3000,-0.2872943095356998,0.172
1,bot,3000,-0.0028353494018344516,0.0
1,brute_force,3000,6.697104128567266,1.0
1,ddos,3000,-0.00345969281756807,0.0
1,dos,3000,1.8182212790983503,0.9466666666666667
1,infiltration,3000,-0.13774203108410366,0.358
1,web_attacks,381,7.07232919292316,0.30183727034120733
2,benign,3000,0.312069527502199,0.831
2,bot,3000,-5.723289724382291e-05,0.0
2,brute_force,3000,0.767815775677995,1.0
2,ddos,3000,-0.0005980227522688667,0.0003333333333333333
2,dos,3000,2.866413200137807,0.946
2,infiltration,3000,-1.125106688481796,0.0026666666666666666
2,web_attacks,381,7.278298679738765,0.41732283464566927
3,benign,3000,0.3072877764803319,0.812
3,bot,3000,-7.211092783186592e-05,0.0
3,brute_force,3000,0.41932765752182,1.0
3,ddos,3000,-0.0006521050364913919,0.0
3,dos,3000,2.8609349820737977,0.9533333333333334
3,infiltration,3000,-1.1264568003382207,0.0036666666666666666
3,web_attacks,381,7.669109876268741,0.38320209973753283
4,benign,3000,0.31231606703063897,0.877
4,bot,3000,-2.7739069491301446e-05,0.0
4,brute_force,3000,0.17729167893213085,1.0
4,ddos,3000,-0.0004564442936617679,0.0006666666666666666
4,dos,3000,2.86902453470925,0.9716666666666667
4,infiltration,3000,-1.1345366596467412,0.0033333333333333335
4,web_attacks,381,8.17327001759383,0.8818897637795275
