class,routed,rows
benign,benign(직결),800
brute_force,bf_bot,800
bot,bf_bot,787
ddos,flood,733
infiltration,benign(직결),611
dos,flood,482
dos,bf_bot,272
web_attacks,benign(직결),254
web_attacks,tail,238
infiltration,tail,187
ddos,benign(직결),67
dos,benign(직결),46
web_attacks,flood,16
bot,benign(직결),13
infiltration,bf_bot,1
infiltration,flood,1
web_attacks,bf_bot,1
