condition,policy,class,support,TP,FP,FN,TN,precision,recall,f1,fpr,H,D,calls,accepted,recall_upper_bound,individual_f1_upper_not_joint
0,fixed_call_bank_oracle,benign,1474302,1272558,18870,201744,778551,0.9853882678709149,0.8631596511433886,0.9202329945439359,0.023663786130538322,3,0,5906,4,0.8631596511433886,0.9202473020265851
1,global,benign,1474302,1272555,44117,201747,753304,0.966493553443834,0.8631576162821457,0.911907455963402,0.0553246026879151,0,0,0,0,,
2,fixed_region,benign,1474302,1187131,2451,287171,794970,0.9979396124016672,0.8052156206801592,0.8912782989049073,0.0030736587072575,22222,107646,1474302,1474302,,
3,expert1_always,benign,1474302,1178719,2375,295583,795046,0.997989152429866,0.7995098697553147,0.8877915007780384,0.0029783514605208,20732,114568,1474302,1474302,,
3,expert2_always,benign,1474302,1172261,946,302041,796475,0.9991936631813482,0.7951294917866217,0.8855577072636958,0.0011863244133274,19888,120182,1474302,1474302,,
3,expert3_always,benign,1474302,1186800,2184,287502,795237,0.9981631376031972,0.8049911076563689,0.891229856650769,0.0027388293009589,21660,107415,1474302,1474302,,
3,expert4_always,benign,1474302,1036561,1928,437741,795493,0.9981434565026688,0.7030859349034323,0.8250276286408221,0.0024177943645828,20127,256121,1474302,1474302,,
3,expert5_always,benign,1474302,1184159,2244,290143,795177,0.9981085685049684,0.8031997514756135,0.890109200381102,0.0028140718641721,20422,108818,1474302,1474302,,
3,expert6_always,benign,1474302,1193650,4771,280652,792650,0.996018928239742,0.8096373741607893,0.8932089109122046,0.0059830378181663,19894,98799,1474302,1474302,,
3,expert7_always,benign,1474302,1056910,2206,417392,795215,0.9979171308902895,0.716888398713425,0.8343747458966503,0.0027664182408037,20256,235901,1474302,1474302,,
4,scorer_only,benign,1474302,1271563,18838,202739,778583,0.9854014372276524,0.862484755497856,0.9198550441041948,0.0236236567634913,0,992,5906,5906,,
5,scorer_verifier,benign,1474302,1272038,19032,202264,778389,0.9852587388755064,0.8628069418613011,0.9199760466222988,0.0238669410512138,0,517,5906,2549,,
6,bank_oracle,benign,1474302,1296270,1237,178032,796184,0.9990466332744254,0.8792431944065734,0.9353241872004889,0.0015512508449112828,23715,0,1474302,26646,0.8792431944065734,0.9355297344110854
0,fixed_call_bank_oracle,xss,343854,327703,110415,16151,1817454,0.7479788550116635,0.9530294834435545,0.8381450998245461,0.05727308235154982,20420,0,20422,20420,0.9530294834435545,0.8381450998245461
1,global,xss,343854,307283,110416,36571,1817453,0.7356565373630294,0.8936438139442903,0.8069904524044945,0.0572736010589931,0,0,0,0,,
2,fixed_region,xss,343854,337002,105220,6852,1822649,0.7620652070679432,0.98007293793296,0.8574285438049247,0.054578397183626,30082,363,343854,343854,,
3,expert1_always,xss,343854,336577,102040,7277,1825829,0.7673596782614445,0.9788369482396598,0.8602925859233121,0.0529289075139441,31257,1963,343854,343854,,
3,expert2_always,xss,343854,328809,105791,15045,1822078,0.7565784629544409,0.9562459648571776,0.8447743861551228,0.0548745791337481,23005,1479,343854,343854,,
3,expert3_always,xss,343854,319556,101227,24298,1826642,0.7594318211524705,0.9293362880757532,0.8358371357912316,0.0525071983625443,13834,1561,343854,343854,,
3,expert4_always,xss,343854,304347,96353,39507,1831516,0.7595383079610681,0.8851053063218691,0.8175283458285094,0.0499790182839186,2133,5069,343854,343854,,
3,expert5_always,xss,343854,337191,101703,6663,1826166,0.7682743441468783,0.980622589820098,0.8615569761915712,0.0527541031055533,31576,1668,343854,343854,,
3,expert6_always,xss,343854,333300,104516,10554,1823353,0.7612787106912493,0.9693067406515556,0.8527895403431115,0.0542132271435455,26232,215,343854,343854,,
