context,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
ref(D_global),0.870702,0.010325,0.028595,0.065837,0.015061,0.009353,0.000126
C0,0.749958,0.048487,0.048487,0.048487,0.048487,0.048477,0.007619
expert1,0.101337,0.101337,0.101337,0.101337,0.101337,0.454725,0.03859
expert2,0.153687,0.153687,0.153687,0.153687,0.153687,0.153687,0.07788
expert3,0.887487,0.022363,0.014992,0.026327,0.022036,0.022961,0.003834
expert4,0.092583,0.092583,0.092583,0.092583,0.092583,0.501828,0.035257
