expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.8617,293,27653,0.8104,0.6115
2,202121,normgain,0.5764,1045,84572,0.8724,0.3179
3,202121,normgain,0.9122,1536,16210,0.5946,0.9841
4,202121,normgain,0.8031,207,39589,0.6995,0.6086
