class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,3502926,3496557,0,1,6368,0
bot,41542,41415,0,0,127,0
brute_force,115040,115020,0,0,20,0
ddos,264872,207206,3705,0,53961,0
dos,60594,38898,0,0,21696,0
infiltration,37631,10168,8,0,27455,0
web_attacks,509,477,0,0,32,0
