a,b,agreement
global,e1,0.8579
global,e2,0.8578
global,e3,0.7244
global,e4,0.7918
e1,e2,0.9868
e1,e3,0.5824
e1,e4,0.9319
e2,e3,0.5825
e2,e4,0.9329
e3,e4,0.5163
