K,beta,tune_expert_balanced_nll
2,0.0,1.627339
2,0.5,2.975996
2,1.0,5.721479
4,0.0,1.109068
4,0.5,2.306528
4,1.0,5.215812
8,0.0,1.294943
8,0.5,2.731934
8,1.0,5.964127
