expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,6978,12761,6978,0,0,0,0,0,6978,0
2,252,12761,252,0,0,0,0,0,0,252
3,1929416,12761,186000,174403,2444,979,3232,2379,2563,0
4,8845,12761,8845,0,0,0,0,0,8845,0
