cluster,rows,weighted_mass,mean_residual,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
0,6978,0.2945457401101868,31.7080747290314,0,0,0,0,0,6978,0
1,252,0.005657584984478763,262.8822390364292,0,0,0,0,0,0,252
2,1929416,0.02699002385773484,0.010354677935230686,1736098,20643,18639,131673,19535,2828,0
3,8845,0.41197011737488864,41.40707222765593,0,0,0,0,0,8845,0
