draw,seed,cal_benign_recall,cal_macro_f1,cal_benign_misrouted,selected
0,48,0.98912,0.753006,544,False
1,49,0.98992,0.76411,504,False
2,50,0.99148,0.751029,426,True
3,51,0.99096,0.631738,452,False
4,52,0.99144,0.763331,428,False
