class,rows,proposed,accepted
benign,3502926,7753,35
bot,41542,1224,426
brute_force,115040,28474,1782
ddos,264872,112692,56822
dos,60594,12843,2347
infiltration,37631,9153,267
web_attacks,509,150,10
