class,winner,rows
benign,global,3396826
ddos,flood,260669
brute_force,bf_bot,115020
benign,tail,104460
bot,bf_bot,41416
dos,flood,39069
infiltration,global,25901
dos,bf_bot,21110
infiltration,tail,11654
ddos,global,3968
benign,bf_bot,1285
web_attacks,tail,429
dos,tail,411
benign,flood,355
ddos,tail,235
bot,tail,122
web_attacks,global,59
infiltration,bf_bot,46
infiltration,flood,30
web_attacks,flood,21
brute_force,tail,20
bot,global,4
dos,global,4
