method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,4023114,0.7732,0.7157,0.0185,0.001909
global_tabpfn,4023114,0.7226,0.7105,0.0127,0.001869
xgboost,4023114,0.7749,0.7426,0.0055,0.002662
